sfxUp sfyUp sfxLow sfyLow time
115.073 -89273.3 -17.6865 89273.3 0.0369
116.088 -89938.2 -17.846 89938.2 0.037
117.023 -90606.5 -18.008 90606.5 0.0371
118.036 -91270.7 -18.1453 91270.7 0.0372
118.991 -91931 -18.2864 91931 0.0373
119.979 -92588.5 -18.4357 92588.5 0.0374
120.957 -93242.4 -18.5809 93242.4 0.0375
121.915 -93893.9 -18.7445 93893.9 0.0376
122.914 -94542.4 -18.8923 94542.4 0.0377
123.836 -95188.6 -19.0679 95188.6 0.0378
124.852 -95832.2 -19.2139 95832.2 0.0379
125.736 -96473.3 -19.3983 96473.3 0.038
126.771 -97111.9 -19.5407 97111.9 0.0381
127.619 -97748 -19.7349 97748 0.0382
128.68 -98381.7 -19.8723 98381.7 0.0383
129.496 -99012.7 -20.0743 99012.7 0.0384
130.595 -99641.3 -20.2043 99641.3 0.0385
131.376 -100267 -20.4153 100267 0.0386
132.503 -100891 -20.5354 100891 0.0387
133.247 -101511 -20.7541 101511 0.0388
134.412 -102129 -20.8652 102129 0.0389
135.117 -102745 -21.0928 102745 0.039
136.314 -103358 -21.1957 103358 0.0391
136.981 -103968 -21.4346 103968 0.0392
138.217 -104575 -21.5311 104575 0.0393
138.841 -105180 -21.7801 105180 0.0394
140.115 -105781 -21.8671 105781 0.0395
140.699 -106380 -22.1256 106380 0.0396
142.008 -106977 -22.2041 106977 0.0397
142.551 -107570 -22.4739 107570 0.0398
143.898 -108161 -22.5452 108161 0.0399
144.394 -108748 -22.8254 108748 0.04
145.78 -109333 -22.89 109333 0.0401
146.231 -109915 -23.1784 109915 0.0402
147.652 -110494 -23.2355 110494 0.0403
148.064 -111070 -23.5315 111070 0.0404
149.525 -111643 -23.5807 111643 0.0405
149.892 -112213 -23.8828 112213 0.0406
151.391 -112780 -23.9278 112780 0.0407
151.716 -113345 -24.2377 113345 0.0408
153.251 -113906 -24.2797 113906 0.0409
153.533 -114464 -24.5945 114464 0.041
155.108 -115019 -24.6349 115019 0.0411
155.349 -115571 -24.9495 115571 0.0412
156.944 -116119 -24.9907 116119 0.0413
157.15 -116665 -25.3064 116665 0.0414
158.778 -117207 -25.3514 117207 0.0415
158.95 -117746 -25.6624 117746 0.0416
160.602 -118281 -25.7109 118281 0.0417
160.741 -118813 -26.017 118813 0.0418
162.415 -119342 -26.0746 119342 0.0419
162.527 -119868 -26.3725 119868 0.042
164.221 -120391 -26.4429 120391 0.0421
164.307 -120911 -26.7291 120911 0.0422
166.016 -121427 -26.8166 121427 0.0423
166.081 -121940 -27.0867 121940 0.0424
167.799 -122450 -27.1953 122450 0.0425
167.847 -122956 -27.4452 122956 0.0426
169.572 -123459 -27.5782 123459 0.0427
169.607 -123959 -27.8023 123959 0.0428
171.333 -124455 -27.9631 124455 0.0429
171.361 -124948 -28.1584 124948 0.043
173.081 -125437 -28.351 125437 0.0431
173.108 -125922 -28.5138 125922 0.0432
174.82 -126404 -28.7415 126404 0.0433
174.849 -126883 -28.8696 126883 0.0434
176.545 -127358 -29.136 127358 0.0435
176.584 -127830 -29.2267 127830 0.0436
178.258 -128297 -29.5327 128297 0.0437
178.312 -128762 -29.5831 128762 0.0438
179.957 -129222 -29.9308 129222 0.0439
180.031 -129679 -29.9395 129679 0.044
181.641 -130132 -30.3295 130132 0.0441
181.741 -130582 -30.2962 130582 0.0442
183.314 -131028 -30.7284 131028 0.0443
183.446 -131470 -30.6551 131470 0.0444
184.97 -131908 -31.1291 131908 0.0445
185.142 -132343 -31.0177 132343 0.0446
186.611 -132773 -31.5322 132773 0.0447
186.826 -133200 -31.3863 133200 0.0448
188.236 -133623 -31.9361 133623 0.0449
188.501 -134042 -31.7594 134042 0.045
189.847 -134457 -32.3397 134457 0.0451
190.168 -134868 -32.1357 134868 0.0452
191.444 -135275 -32.7399 135275 0.0453
191.824 -135679 -32.5148 135679 0.0454
193.024 -136078 -33.1361 136078 0.0455
193.47 -136474 -32.8987 136474 0.0456
194.586 -136865 -33.5311 136865 0.0457
195.101 -137252 -33.2897 137252 0.0458
196.136 -137635 -33.9226 137635 0.0459
196.724 -138014 -33.6854 138014 0.046
197.669 -138389 -34.3101 138389 0.0461
198.332 -138760 -34.0862 138760 0.0462
199.186 -139127 -34.6929 139127 0.0463
199.925 -139489 -34.491 139489 0.0464
200.68 -139847 -35.0707 139847 0.0465
201.501 -140202 -34.9015 140202 0.0466
202.164 -140551 -35.4438 140551 0.0467
203.065 -140897 -35.317 140897 0.0468
203.632 -141238 -35.8149 141238 0.0469
204.611 -141575 -35.742 141575 0.047
205.079 -141908 -36.1853 141908 0.0471
206.139 -142236 -36.1729 142236 0.0472
206.513 -142560 -36.5533 142560 0.0473
207.651 -142879 -36.6067 142879 0.0474
207.928 -143194 -36.9166 143194 0.0475
209.14 -143505 -37.0425 143505 0.0476
209.325 -143811 -37.2781 143811 0.0477
210.587 -144112 -37.4817 144112 0.0478
210.67 -144409 -37.6428 144409 0.0479
212.013 -144702 -37.9305 144702 0.048
212.016 -144989 -38.0115 144989 0.0481
213.432 -145273 -38.3776 145273 0.0482
213.362 -145551 -38.3752 145551 0.0483
214.84 -145825 -38.8176 145825 0.0484
214.696 -146095 -38.734 146095 0.0485
216.229 -146360 -39.2504 146360 0.0486
216.017 -146620 -39.091 146620 0.0487
217.595 -146875 -39.6807 146875 0.0488
217.317 -147126 -39.4522 147126 0.0489
218.932 -147372 -40.1096 147372 0.049
218.598 -147613 -39.8219 147613 0.0491
220.244 -147849 -40.5387 147849 0.0492
219.86 -148080 -40.1989 148080 0.0493
221.527 -148307 -40.963 148307 0.0494
221.102 -148528 -40.5798 148528 0.0495
222.785 -148745 -41.3809 148745 0.0496
222.325 -148957 -40.9665 148957 0.0497
224.011 -149164 -41.7898 149164 0.0498
223.529 -149366 -41.3553 149366 0.0499
225.21 -149562 -42.19 149562 0.05
224.712 -149754 -41.7513 149754 0.0501
226.383 -149941 -42.5839 149941 0.0502
225.88 -150123 -42.153 150123 0.0503
227.53 -150299 -42.9703 150299 0.0504
227.022 -150471 -42.5571 150471 0.0505
228.637 -150637 -43.3467 150637 0.0506
228.139 -150798 -42.9642 150798 0.0507
229.718 -150954 -43.7154 150954 0.0508
229.241 -151105 -43.3739 151105 0.0509
230.774 -151251 -44.0758 151251 0.051
230.322 -151390 -43.7867 151390 0.0511
231.804 -151524 -44.4321 151524 0.0512
231.38 -151653 -44.2021 151653 0.0513
232.797 -151776 -44.7833 151776 0.0514
232.401 -151895 -44.6203 151895 0.0515
233.749 -152008 -45.1333 152008 0.0516
233.396 -152116 -45.0392 152116 0.0517
234.672 -152219 -45.4798 152219 0.0518
234.367 -152316 -45.4563 152316 0.0519
235.562 -152408 -45.8214 152408 0.052
235.306 -152494 -45.8679 152494 0.0521
236.423 -152575 -46.1589 152575 0.0522
236.222 -152650 -46.275 152650 0.0523
237.249 -152720 -46.4979 152720 0.0524
237.107 -152784 -46.6798 152784 0.0525
238.046 -152842 -46.8352 152842 0.0526
237.958 -152895 -47.0757 152895 0.0527
238.806 -152942 -47.1688 152942 0.0528
238.777 -152984 -47.4627 152984 0.0529
239.531 -153019 -47.5006 153019 0.053
239.563 -153049 -47.8419 153049 0.0531
240.224 -153073 -47.8332 153073 0.0532
240.313 -153092 -48.2129 153092 0.0533
