,Re_s,St,direction,stagPos,velChange,Amp,Nu,delta,Re_Paper,epsilon,Tvar,Msquared,Re_M
67,42.0,1.25,Horizontal,0.266145,1.0,0.12,0.021542349624615726,0.01851640199545103,52.5,0.8,0.11614500000000003,65.625,65.625
68,42.0,1.5,Horizontal,0.266145,1.0,0.09999999999999999,0.01495996501709425,0.015430334996209188,63.000000000000014,0.6666666666666666,0.11614500000000003,94.50000000000003,94.50000000000003
69,46.0,0.5,Horizontal,0.250489,1.0,0.3,0.12293188644481799,0.04423258684646914,22.999999999999996,2.0,0.10048900000000002,11.499999999999998,11.499999999999998
70,46.0,0.75,Horizontal,0.266145,1.0,0.19999999999999998,0.05463639397547465,0.029488391230979422,34.50000000000001,1.3333333333333333,0.11614500000000003,25.875000000000007,25.875000000000007
71,46.0,1.0,Horizontal,0.266145,1.0,0.15,0.030732971611204498,0.02211629342323457,45.99999999999999,1.0,0.11614500000000003,45.99999999999999,45.99999999999999
72,46.0,1.25,Horizontal,0.250489,1.0,0.12,0.01966910183117088,0.017693034738587656,57.49999999999999,0.8,0.10048900000000002,71.87499999999999,71.87499999999999
73,46.0,1.5,Horizontal,0.250489,1.0,0.09999999999999999,0.013659098493868663,0.014744195615489711,69.00000000000001,0.6666666666666666,0.10048900000000002,103.50000000000003,103.50000000000003
74,50.0,0.5,Horizontal,0.2348335,1.0,0.3,0.11309733552923255,0.042426406871192854,24.999999999999996,2.0,0.0848335,12.499999999999998,12.499999999999998
75,50.0,0.75,Horizontal,0.250489,1.0,0.19999999999999998,0.05026548245743668,0.028284271247461898,37.5,1.3333333333333333,0.10048900000000002,28.125,28.125000000000004
76,50.0,1.0,Horizontal,0.250489,1.0,0.15,0.02827433388230814,0.021213203435596427,49.99999999999999,1.0,0.10048900000000002,49.99999999999999,49.99999999999999
77,50.0,1.25,Horizontal,0.250489,1.0,0.12,0.018095573684677208,0.01697056274847714,62.50000000000001,0.8,0.10048900000000002,78.125,78.12500000000001
78,50.0,1.5,Horizontal,0.250489,1.0,0.09999999999999999,0.01256637061435917,0.014142135623730949,75.0,0.6666666666666666,0.10048900000000002,112.5,112.50000000000001
79,54.0,0.5,Horizontal,0.2348335,1.0,0.3,0.10471975511965977,0.0408248290463863,27.000000000000004,2.0,0.0848335,13.500000000000002,13.500000000000002
80,54.0,0.75,Horizontal,0.250489,1.0,0.19999999999999998,0.04654211338651545,0.027216552697590865,40.5,1.3333333333333333,0.10048900000000002,30.375,30.375000000000004
81,54.0,1.0,Horizontal,0.250489,1.0,0.15,0.02617993877991494,0.02041241452319315,54.00000000000001,1.0,0.10048900000000002,54.00000000000001,54.00000000000001
82,54.0,1.25,Horizontal,0.250489,1.0,0.12,0.016755160819145562,0.01632993161855452,67.5,0.8,0.10048900000000002,84.375,84.37500000000001
83,54.0,1.5,Horizontal,0.250489,1.0,0.09999999999999999,0.011635528346628862,0.013608276348795433,81.0,0.6666666666666666,0.10048900000000002,121.5,121.50000000000001
84,58.0,0.5,Horizontal,0.21917799999999998,1.0,0.3,0.09749770304244186,0.03939192985791677,28.999999999999993,2.0,0.06917799999999999,14.499999999999996,14.499999999999996
85,58.0,0.75,Horizontal,0.250489,1.0,0.19999999999999998,0.04333231246330748,0.026261286571944507,43.5,1.3333333333333333,0.10048900000000002,32.625,32.62500000000001
86,58.0,1.0,Horizontal,0.250489,1.0,0.15,0.024374425760610465,0.019695964928958386,57.999999999999986,1.0,0.10048900000000002,57.999999999999986,57.999999999999986
87,58.0,1.25,Horizontal,0.2348335,1.0,0.12,0.015599632486790697,0.015756771943166707,72.49999999999999,0.8,0.0848335,90.62499999999997,90.62499999999999
88,58.0,1.5,Horizontal,0.250489,1.0,0.09999999999999999,0.01083307811582687,0.013130643285972254,87.0,0.6666666666666666,0.10048900000000002,130.5,130.50000000000003
