Hx Hy ThetaBW parHx parHy parThetaBW time H
4.25 -5.5 0.0 4.25 -5.5 0.0 0.0 6.950719387228922
4.234964473683141 -5.518566397329176 0.0009389681794149927 4.25 -5.5 0.0 0.1 6.95625611770362
4.19593296713861 -5.552340226798589 6.271172208734887 4.25 -5.5 0.0 0.2 6.95947810247625
4.296816983610929 -5.512141425366491 6.2816362570220114 4.25 -5.5 0.0 0.3 6.989015616228702
4.199078498110874 -5.616663858674031 6.280705501454199 4.25 -5.5 0.0 0.4 7.012786403037821
4.240169577819861 -5.644715926378858 0.007577757185421453 4.25 -5.5 0.0 0.5 7.059876481793728
4.2749546866447075 -5.675964129628083 0.006952763755576136 4.25 -5.5 0.0 0.6 7.105758676854304
4.221951788022844 -5.773888805086095 6.2720874353831455 4.25 -5.5 0.0 0.7 7.152808457793891
4.348426570395267 -5.758258306479322 0.009162804720556044 4.25 -5.5 0.0 0.8 7.21570179277509
4.3084584350967905 -5.852764682304859 6.279484896660737 4.25 -5.5 0.0 0.9 7.2675765227063
4.23256217187862 -5.966783685168918 6.271305052705972 4.25 -5.5 0.0 1.0 7.315537580001612
4.284165649849532 -6.014597116305675 6.265329548002463 4.25 -5.5 0.0 1.1 7.384406122825531
4.2658505621975555 -6.073639401570158 6.273802697159329 4.25 -5.5 0.0 1.2 7.42203318500441
4.285248754582389 -6.10819646811911 6.262444074924668 4.25 -5.5 0.0 1.3 7.4614623889551766
4.2986381298962915 -6.160893289694536 0.006003466529209926 4.25 -5.5 0.0 1.4 7.51231628053568
4.317923804571307 -6.217669928321095 0.021005715033978883 4.25 -5.5 0.0 1.5 7.569932979863957
4.308303839828692 -6.295689775490031 0.02909716854488808 4.25 -5.5 0.0 1.6 7.628708391693339
4.325410034979432 -6.344518777859566 0.03453661986040902 4.25 -5.5 0.0 1.7 7.67867765265045
4.281274928869154 -6.426682501273115 0.027762884608059986 4.25 -5.5 0.0 1.8 7.722147563258141
4.348637426607034 -6.440279902524252 0.03627216729019291 4.25 -5.5 0.0 1.9 7.770962147053944
4.318137797718447 -6.524603094032273 0.032994003075153 4.25 -5.5 0.0 2.0 7.824113980173105
4.4005476857795385 -6.544499180632788 0.04593865296146702 4.25 -5.5 0.0 2.1 7.886399017303327
4.3384887284685485 -6.663077088559635 0.03879221730340903 4.25 -5.5 0.0 2.2 7.951042745145883
4.330753968996122 -6.752457850694467 0.039959219808354395 4.25 -5.5 0.0 2.3 8.021914794198516
4.323747374663683 -6.844194116039973 0.04298359629089779 4.25 -5.5 0.0 2.4 8.095541023177343
4.366071847342519 -6.8900307019025195 0.05184953390862392 4.25 -5.5 0.0 2.5 8.156905445652551
4.321326421872282 -6.973922882244016 0.05045254381384056 4.25 -5.5 0.0 2.6 8.204234419606632
4.3766538867603835 -7.001479741887022 0.0678019696246742 4.25 -5.5 0.0 2.7 8.256864890534974
4.37063681012797 -7.073346612436874 0.08679522129905833 4.25 -5.5 0.0 2.8 8.31472780226255
4.3275683962889 -7.164549628543243 0.101080258654395 4.25 -5.5 0.0 2.9 8.370102723647877
4.355052078567403 -7.199770411330284 0.13060088854256707 4.25 -5.5 0.0 3.0 8.414462108946791
4.319191600909732 -7.265713349900392 0.15736818682796822 4.25 -5.5 0.0 3.1 8.452573961125093
4.338313539444076 -7.310973722679094 0.19595315912856104 4.25 -5.5 0.0 3.2 8.501252915907632
4.331496847164288 -7.37558744816043 0.23505731835944074 4.25 -5.5 0.0 3.3 8.553429437509603
4.334330568274881 -7.41239734072469 0.28248056234752067 4.25 -5.5 0.0 3.4 8.58662074461569
4.273728897809852 -7.479623967599292 0.3265561269622107 4.25 -5.5 0.0 3.5 8.614495538838058
4.243397594020127 -7.545388995182914 0.3797409555311354 4.25 -5.5 0.0 3.6 8.656749865253312
4.244063869882428 -7.597136101527841 0.440091212308532 4.25 -5.5 0.0 3.7 8.702215526909171
4.227767591404773 -7.647612805169839 0.501448715472295 4.25 -5.5 0.0 3.8 8.738420934283848
4.183311153434946 -7.705356227599217 0.5621158051695158 4.25 -5.5 0.0 3.9 8.767702481303484
4.182136909386947 -7.735515293469519 0.6282653669384254 4.25 -5.5 0.0 4.0 8.793660556580372
4.146498276386363 -7.803181974306821 0.6907127114307327 4.25 -5.5 0.0 4.1 8.83646404848806
